systematic_id ; common_name ; description
YJL140W ; RPB4 ; RNA polymerase II subunit B32
YJL141C ; YAK1 ; Serine-threonine protein kinase
YJL143W ; TIM17 ; Essential component of the TIM23 complex
YJL144W ; ROQ1 ; Ub-ligase substrate-specificity factor
YJL145W ; SFH5 ; Unusual phosphatidylinositol transfer protein (PITP) that binds heme
YJL146W ; IDS2 ; Protein involved in modulation of Ime2p activity during meiosis
YJL147C ; SMT1 ; Translational repressor of the mitochondrial ATP6/8 mRNA
YJL148W ; RPA34 ; RNA polymerase I subunit A34.5
YJL149W ; DAS1 ; Putative SCF ubiquitin ligase F-box protein
YJL151C ; SNA3 ; Protein involved in efficient MVB sorting of proteins to the vacuole
YJL153C ; INO1 ; Inositol-3-phosphate synthase
YJL154C ; VPS35 ; Endosomal subunit of membrane-associated retromer complex
YJL155C ; FBP26 ; Fructose-2,6-bisphosphatase, required for glucose metabolism
YJL156C ; SSY5 ; Serine protease of SPS plasma membrane amino acid sensor system
YJL157C ; FAR1 ; CDK inhibitor and nuclear anchor
YJL158C ; CIS3 ; Mannose-containing glycoprotein constituent of the cell wall
YJL159W ; HSP150 ; O-mannosylated heat shock protein
YJL160C ; PIR5 ; Putative protein of unknown function
YJL161W ; FMP33 ; Putative protein of unknown function
YJL162C ; JJJ2 ; Protein of unknown function
YJL163C ; nan ; Putative protein of unknown function
YJL164C ; TPK1 ; cAMP-dependent protein kinase catalytic subunit
YJL165C ; HAL5 ; Snf1p-related nutrient-responsive protein kinase
YJL166W ; QCR8 ; Subunit 8 of ubiquinol cytochrome-c reductase (Complex III)
YJL167W ; ERG20 ; Farnesyl pyrophosphate synthetase
YJL168C ; SET2 ; Histone methyltransferase with a role in transcriptional elongation
YJL170C ; ASG7 ; Protein that regulates signaling from G protein beta subunit Ste4p
YJL171C ; TOH1 ; GPI-anchored cell wall protein of unknown function
YJL172W ; CPS1 ; Vacuolar carboxypeptidase S
YJL173C ; RFA3 ; Subunit of heterotrimeric Replication Protein A (RPA)
YJL174W ; KRE9 ; Glycoprotein involved in cell wall beta-glucan assembly
YJL176C ; SWI3 ; Subunit of the SWI/SNF chromatin remodeling complex
YJL177W ; RPL17B ; Ribosomal 60S subunit protein L17B
YJL178C ; ATG27 ; Type I membrane protein involved in autophagy and the Cvt pathway
YJL179W ; PFD1 ; Subunit of heterohexameric prefoldin
YJL180C ; ATP12 ; Assembly factor for F1 sector of mitochondrial F1F0 ATP synthase
YJL181W ; RBH1 ; Putative protein of unknown function
YJL183W ; MNN11 ; Subunit of a Golgi mannosyltransferase complex
YJL184W ; GON7 ; Component of the EKC/KEOPS protein complex
YJL185C ; ATG36 ; Pex3p interacting protein, required for pexophagy
YJL186W ; MNN5 ; Alpha-1,2-mannosyltransferase
YJL187C ; SWE1 ; Protein kinase that regulates the G2/M transition
YJL188C ; BUD19 ; Dubious open reading frame
YJL189W ; RPL39 ; Ribosomal 60S subunit protein L39
YJL190C ; RPS22A ; Protein component of the small (40S) ribosomal subunit
YJL191W ; RPS14B ; Protein component of the small (40S) ribosomal subunit
YJL192C ; SOP4 ; ER-membrane protein
YJL193W ; nan ; Putative protein of unknown function
YJL194W ; CDC6 ; Essential ATP-binding protein required for DNA replication
YJL196C ; ELO1 ; Elongase I, medium-chain acyl elongase
YJL197W ; UBP12 ; Ubiquitin-specific protease
YJL198W ; PHO90 ; Low-affinity phosphate transporter
YJL199C ; MBB1 ; Putative protein of unknown function
YJL200C ; ACO2 ; Putative mitochondrial aconitase isozyme
YJL201W ; ECM25 ; Non-essential protein of unknown function
YJL203W ; PRP21 ; Subunit of the SF3a splicing factor complex
YJL204C ; RCY1 ; F-box protein involved in recycling endocytosed proteins
YJL205C ; NCE101 ; Protein of unknown function
YJL206C ; nan ; Putative protein of unknown function
YJL207C ; LAA1 ; AP-1 accessory protein
YJL208C ; NUC1 ; Major mitochondrial nuclease
YJL209W ; CBP1 ; Mitochondrial protein, regulator of COB mRNA stability and translation
YJL210W ; PEX2 ; RING-finger peroxin and E3 ubiquitin ligase
YJL212C ; OPT1 ; Proton-coupled oligopeptide transporter of the plasma membrane
YJL213W ; nan ; Protein of unknown function that may interact with ribosomes
YJL214W ; HXT8 ; Protein of unknown function with similarity to hexose transporters
YJL216C ; IMA5 ; Alpha-glucosidase
YJL217W ; REE1 ; Cytoplasmic protein involved in the regulation of enolase (ENO1)
YJL218W ; nan ; Mitochondrial protein, putative acetyltransferase
YJL221C ; IMA4 ; Alpha-glucosidase
YJR001W ; AVT1 ; Vacuolar transporter
YJR002W ; MPP10 ; Component of the SSU processome and 90S preribosome
YJR003C ; MRX12 ; Protein that associates with mitochondrial ribosome
YJR004C ; SAG1 ; Alpha-agglutinin of alpha-cells
YJR005C-A ; LSO1 ; Protein with a potential role in response to iron deprivation
YJR005W ; APL1 ; Beta-adaptin
YJR006W ; POL31 ; Subunit of DNA polymerase delta (polymerase III)
YJR007W ; SUI2 ; Alpha subunit of the translation initiation factor eIF2
YJR008W ; MHO1 ; Protein of unknown function
YJR009C ; TDH2 ; Glyceraldehyde-3-phosphate dehydrogenase (GAPDH), isozyme 2
YJR010C-A ; SPC1 ; Subunit of the signal peptidase complex (SPC)
YJR010W ; MET3 ; ATP sulfurylase
YJR011C ; nan ; Putative protein of unknown function
YJR012C ; nan ; Protein of unknown function
YJR013W ; GPI14 ; Glycosylphosphatidylinositol-alpha 1,4 mannosyltransferase I
YJR014W ; TMA22 ; Protein of unknown function
YJR015W ; nan ; Putative protein of unknown function
YJR016C ; ILV3 ; Dihydroxyacid dehydratase
YJR017C ; ESS1 ; Peptidylprolyl-cis/trans-isomerase (PPIase)
YJR019C ; TES1 ; Peroxisomal acyl-CoA thioesterase
YJR021C ; REC107 ; Protein involved in early stages of meiotic recombination
YJR022W ; LSM8 ; Lsm (Like Sm) protein
YJR024C ; MDE1 ; 5'-methylthioribulose-1-phosphate dehydratase
YJR025C ; BNA1 ; 3-hydroxyanthranilic acid dioxygenase
YJR030C ; RBH2 ; Putative protein of unknown function
YJR031C ; GEA1 ; Guanine nucleotide exchange factor for ADP ribosylation factors (ARFs)
YJR032W ; CPR7 ; Peptidyl-prolyl cis-trans isomerase (cyclophilin)
YJR033C ; RAV1 ; Subunit of RAVE complex (Rav1p, Rav2p, Skp1p)
YJR034W ; PET191 ; Protein required for assembly of cytochrome c oxidase
YJR035W ; RAD26 ; Protein involved in transcription-coupled nucleotide excision repair
YJR036C ; HUL4 ; Protein with similarity to hect domain E3 ubiquitin-protein ligases
YJR039W ; MLO127 ; Mitochondrial protein of unknown function
YJR040W ; GEF1 ; Voltage-gated chloride channel
YJR041C ; URB2 ; Protein required for normal metabolism of the rRNA primary transcript
YJR042W ; NUP85 ; Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC)
YJR043C ; POL32 ; Third subunit of DNA polymerase delta
YJR044C ; VPS55 ; Late endosomal protein involved in late endosome to vacuole transport
YJR045C ; SSC1 ; Hsp70 family ATPase
YJR046W ; TAH11 ; DNA replication licensing factor
YJR047C ; ANB1 ; Translation elongation factor eIF-5A
YJR048W ; CYC1 ; Cytochrome c, isoform 1
YJR049C ; UTR1 ; ATP-NADH kinase
YJR050W ; ISY1 ; Member of the NineTeen Complex (NTC)
YJR051W ; OSM1 ; Fumarate reductase, catalyzes the reduction of fumarate to succinate
YJR052W ; RAD7 ; Nucleotide excision repair (NER) protein
YJR053W ; BFA1 ; Subunit of a two-component GTPase-activating protein, Bfa1p-Bub2p
YJR054W ; KCH1 ; Potassium transporter that mediates K+ influx
YJR055W ; HIT1 ; Protein involved in C/D snoRNP assembly
YJR056C ; nan ; Protein of unknown function
YJR057W ; CDC8 ; Nucleoside monophosphate and nucleoside diphosphate kinase
YJR058C ; APS2 ; Small subunit of the clathrin-associated adaptor complex AP-2
YJR059W ; PTK2 ; Serine/threonine protein kinase
YJR060W ; CBF1 ; Basic helix-loop-helix (bHLH) protein
YJR061W ; MNN14 ; Protein required for N-glycan mannosylphosphorylation
YJR062C ; NTA1 ; Amidase
YJR063W ; RPA12 ; RNA polymerase I subunit A12.2
YJR064W ; CCT5 ; Subunit of the cytosolic chaperonin Cct ring complex
YJR065C ; ARP3 ; Essential component of the Arp2/3 complex
YJR066W ; TOR1 ; PIK-related protein kinase and rapamycin target
YJR067C ; YAE1 ; Substrate-specific adaptor protein involved in apo-Rli1p maturation
YJR068W ; RFC2 ; Subunit of heteropentameric Replication factor C (RF-C)
YJR069C ; HAM1 ; Nucleoside triphosphate pyrophosphohydrolase
YJR070C ; LIA1 ; Deoxyhypusine hydroxylase
YJR072C ; NPA3 ; Member of the conserved GPN-loop GTPase family
YJR073C ; OPI3 ; Methylene-fatty-acyl-phospholipid synthase
YJR074W ; MOG1 ; Conserved nuclear protein that interacts with GTP-Gsp1p
YJR075W ; HOC1 ; Alpha-1,6-mannosyltransferase
YJR076C ; CDC11 ; Component of the septin ring that is required for cytokinesis
YJR077C ; MIR1 ; Mitochondrial phosphate carrier
YJR078W ; BNA2 ; Tryptophan 2,3-dioxygenase or indoleamine 2,3-dioxygenase
YJR080C ; AIM24 ; Protein with a role in determining mitochondrial architecture
YJR082C ; EAF6 ; Subunit of the NuA4 acetyltransferase complex
YJR083C ; ACF4 ; Protein of unknown function
YJR084W ; nan ; Protein that forms a complex with Thp3p
YJR085C ; TMH11 ; Mitochondrial protein of unknown function
YJR086W ; STE18 ; G protein gamma subunit
YJR088C ; EMC2 ; Member of conserved ER transmembrane complex
YJR089W ; BIR1 ; Subunit of chromosomal passenger complex (CPC)
YJR090C ; GRR1 ; F-box protein component of an SCF ubiquitin-ligase complex
YJR091C ; JSN1 ; Member of the Puf family of RNA-binding proteins
YJR092W ; BUD4 ; Anillin-like protein involved in bud-site selection
YJR093C ; FIP1 ; Subunit of cleavage polyadenylation factor (CPF)
YJR094C ; IME1 ; Master regulator of meiosis that is active only during meiotic events
YJR094W-A ; RPL43B ; Ribosomal 60S subunit protein L43B
YJR095W ; SFC1 ; Mitochondrial succinate-fumarate transporter
YJR096W ; nan ; Xylose and arabinose reductase
YJR097W ; JJJ3 ; Protein of unknown function
YJR098C ; nan ; Putative protein of unknown function
YJR099W ; YUH1 ; Ubiquitin C-terminal hydrolase
YJR100C ; AIM25 ; Mitochondria protein of unknown function
YJR101W ; RSM26 ; Mitochondrial ribosomal protein of the small subunit
YJR102C ; VPS25 ; Component of the ESCRT-II complex
YJR103W ; URA8 ; Minor CTP synthase isozyme (see also URA7)
YJR104C ; SOD1 ; Cytosolic copper-zinc superoxide dismutase
YJR105W ; ADO1 ; Adenosine kinase
YJR106W ; ECM27 ; Protein involved in calcium homeostasis and exit from quiescence
YJR107W ; LIH1 ; Putative lipase
YJR108W ; ABM1 ; Protein of unknown function
YJR109C ; CPA2 ; Large subunit of carbamoyl phosphate synthetase
YJR110W ; YMR1 ; Phosphatidylinositol 3-phosphate (PI3P) phosphatase
YJR111C ; PXP2 ; Peroxisomal matrix protein with naturally active promoter
YJR112W ; NNF1 ; Essential component of the outer kinetochore MIND complex
YJR112W-A ; nan ; Putative protein of unknown function
YJR113C ; RSM7 ; Mitochondrial ribosomal protein of the small subunit
YJR115W ; nan ; Putative protein of unknown function
YJR116W ; TDA4 ; Protein with distant similarity to ceramide synthase paralogs Lag1p an
YJR117W ; STE24 ; Highly conserved zinc metalloprotease
YJR118C ; ILM1 ; Protein of unknown function
YJR119C ; JHD2 ; JmjC domain family histone demethylase
YJR121W ; ATP2 ; Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase
YJR122W ; IBA57 ; Protein involved in incorporating iron-sulfur clusters into proteins
YJR123W ; RPS5 ; Protein component of the small (40S) ribosomal subunit
YJR124C ; nan ; Putative protein of unknown function
YJR125C ; ENT3 ; Protein containing an N-terminal epsin-like domain
YJR126C ; VPS70 ; Protein of unknown function involved in vacuolar protein sorting
YJR127C ; RSF2 ; Zinc-finger protein
YJR129C ; EFM3 ; S-adenosylmethionine-dependent methyltransferase
YJR130C ; STR2 ; Cystathionine gamma-synthase, converts cysteine into cystathionine
YJR131W ; MNS1 ; Alpha-1,2-mannosidase
YJR132W ; NMD5 ; Karyopherin
YJR133W ; XPT1 ; Xanthine-guanine phosphoribosyl transferase
YJR134C ; SGM1 ; Protein of unknown function
YJR135C ; MCM22 ; Outer kinetochore protein and component of the Ctf3 subcomplex
YJR135W-A ; TIM8 ; Mitochondrial intermembrane space protein
YJR136C ; TTI2 ; Subunit of the ASTRA complex, involved in chromatin remodeling
YJR137C ; MET5 ; Sulfite reductase beta subunit
YJR138W ; IML1 ; GTPase-activating protein (GAP) subunit of the Iml1p/SEACIT complex
YJR139C ; HOM6 ; Homoserine dehydrogenase (L-homoserine:NADP oxidoreductase)
YJR140C ; HIR3 ; Subunit of the HIR complex
YJR141W ; IPA1 ; Protein implicated in pre-mRNA processing and proteasomal degradation
YJR142W ; nan ; 8-oxo-dGTP diphosphatase of the Nudix hydrolase family
YJR143C ; PMT4 ; Protein O-mannosyltransferase
YJR144W ; MGM101 ; Protein with a role in mitochondrial DNA recombinational repair
YJR145C ; RPS4A ; Protein component of the small (40S) ribosomal subunit
YJR147W ; HMS2 ; Protein with similarity to heat shock transcription factors
YJR148W ; BAT2 ; Cytosolic branched-chain amino acid (BCAA) aminotransferase
YJR149W ; nan ; Putative protein of unknown function
YJR150C ; DAN1 ; Cell wall mannoprotein
YJR151C ; DAN4 ; Cell wall mannoprotein
YJR152W ; DAL5 ; Allantoate permease
YJR153W ; PGU1 ; Endo-polygalacturonase
YJR154W ; nan ; Putative protein of unknown function
YJR155W ; AAD10 ; Putative aryl-alcohol dehydrogenase
YKL001C ; MET14 ; Adenylylsulfate kinase
YKL002W ; DID4 ; Class E Vps protein of the ESCRT-III complex
YKL003C ; MRP17 ; Mitochondrial ribosomal protein of the small subunit
YKL004W ; AUR1 ; Phosphatidylinositol:ceramide phosphoinositol transferase
YKL005C ; BYE1 ; Negative regulator of transcription elongation
YKL006C-A ; SFT1 ; Intra-Golgi v-SNARE
YKL006W ; RPL14A ; Ribosomal 60S subunit protein L14A
YKL007W ; CAP1 ; Alpha subunit of the capping protein heterodimer (Cap1p and Cap2p)
YKL008C ; LAC1 ; Ceramide synthase component
YKL009W ; MRT4 ; Protein involved in mRNA turnover and ribosome assembly
YKL010C ; UFD4 ; Ubiquitin-protein ligase (E3)
YKL011C ; CCE1 ; Mitochondrial cruciform cutting endonuclease
YKL012W ; PRP40 ; U1 snRNP protein involved in splicing
YKL013C ; ARC19 ; Subunit of the ARP2/3 complex
YKL014C ; URB1 ; Protein required for the normal accumulation of 25S and 5.8S rRNAs
YKL015W ; PUT3 ; Transcriptional activator
YKL016C ; ATP7 ; Subunit d of the stator stalk of mitochondrial F1F0 ATP synthase
YKL017C ; HCS1 ; Hexameric DNA polymerase alpha-associated DNA helicase A
YKL018C-A ; MCO12 ; Putative mitochondrial protein of unknown function
YKL018W ; SWD2 ; Subunit of the COMPASS (Set1C) histone H3K4 methyltransferase complex
YKL019W ; RAM2 ; Alpha subunit of farnesyltransferase and geranylgeranyltransferase-I
YKL020C ; SPT23 ; ER membrane protein involved in regulation of OLE1 transcription
YKL021C ; MAK11 ; Protein involved in an early step of 60S ribosomal subunit biogenesis
YKL022C ; CDC16 ; Subunit of the anaphase-promoting complex/cyclosome (APC/C)
YKL023C-A ; MIN9 ; Mitochondrial protein of unknown function
YKL023W ; SKA1 ; SKI complex-associated protein
YKL024C ; URA6 ; Uridylate kinase
YKL025C ; PAN3 ; Essential subunit of the Pan2p-Pan3p poly(A)-ribonuclease complex
YKL026C ; GPX1 ; Phospholipid hydroperoxide glutathione peroxidase
YKL027W ; TCD2 ; tRNA threonylcarbamoyladenosine dehydratase
YKL028W ; TFA1 ; TFIIE large subunit
YKL029C ; MAE1 ; Mitochondrial malic enzyme
YKL032C ; IXR1 ; Transcriptional repressor that regulates hypoxic genes during normoxia
YKL033W ; TTI1 ; Subunit of the ASTRA complex, involved in chromatin remodeling
YKL033W-A ; nan ; Putative protein of unknown function
YKL034W ; TUL1 ; Subunit of the DSC ubiquitin ligase complex
YKL035W ; UGP1 ; UDP-glucose pyrophosphorylase (UGPase)
YKL038W ; RGT1 ; Glucose-responsive transcription factor
YKL039W ; PTM1 ; Protein of unknown function
YKL040C ; NFU1 ; Protein involved in Fe-S cluster transfer to mitochondrial clients
YKL041W ; VPS24 ; One of four subunits of the ESCRT-III complex
YKL042W ; SPC42 ; Central plaque component of spindle pole body (SPB)
YKL043W ; PHD1 ; Transcriptional activator that enhances pseudohyphal growth
YKL045W ; PRI2 ; Subunit of DNA primase
YKL046C ; DCW1 ; Putative mannosidase
YKL047W ; ANR2 ; Protein of unknown function
YKL048C ; ELM1 ; Serine/threonine protein kinase
YKL049C ; CSE4 ; Centromeric histone H3-like protein
YKL050C ; nan ; Protein of unknown function
YKL051W ; SFK1 ; Protein that regulates phospholipid asymmetry at plasma membrane
YKL052C ; ASK1 ; Essential subunit of the Dam1 complex (aka DASH complex)
YKL053C-A ; MDM35 ; Mitochondrial intermembrane space protein
YKL054C ; DEF1 ; RNAPII degradation factor
YKL055C ; OAR1 ; Mitochondrial 3-oxoacyl-[acyl-carrier-protein] reductase
YKL056C ; TMA19 ; Protein that associates with ribosomes
YKL057C ; NUP120 ; Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC)
YKL058W ; TOA2 ; TFIIA small subunit
YKL059C ; MPE1 ; Subunit of CPF cleavage and polyadenylation factor and E3 Ub-ligase
YKL060C ; FBA1 ; Fructose 1,6-bisphosphate aldolase
YKL061W ; BLI1 ; Subunit of the BLOC-1 complex involved in endosomal maturation
YKL062W ; MSN4 ; Stress-responsive transcriptional activator
YKL063C ; nan ; Putative protein of unknown function
YKL064W ; MNR2 ; Vacuolar membrane protein required for magnesium homeostasis
YKL065C ; YET1 ; Endoplasmic reticulum transmembrane protein
YKL065W-A ; DPC7 ; Putative mitochondrial protein of unknown function
YKL067W ; YNK1 ; Nucleoside diphosphate kinase
YKL068W ; NUP100 ; FG-nucleoporin component of central core of the nuclear pore complex
YKL068W-A ; nan ; Putative protein of unknown function
YKL069W ; nan ; Methionine-R-sulfoxide reductase
YKL070W ; nan ; Putative protein of unknown function
YKL071W ; nan ; NADH-dependent aldehyde reductase
YKL072W ; STB6 ; Protein that binds Sin3p in a two-hybrid assay
YKL073W ; LHS1 ; Molecular chaperone of the endoplasmic reticulum lumen
YKL074C ; MUD2 ; Protein involved in early pre-mRNA splicing
YKL075C ; nan ; Putative protein of unknown function
YKL077W ; PSG1 ; Protein that promotes the transport and maturation of Pma1 with Exp1
YKL078W ; DHR2 ; Predominantly nucleolar DEAH-box ATP-dependent RNA helicase
YKL079W ; SMY1 ; Kinesin-like myosin passenger-protein
YKL080W ; VMA5 ; Subunit C of the V1 peripheral membrane domain of V-ATPase
YKL081W ; TEF4 ; Gamma subunit of translational elongation factor eEF1B
YKL082C ; RRP14 ; Essential protein, constituent of 66S pre-ribosomal particles
YKL084W ; HOT13 ; Zinc-binding mitochondrial intermembrane space (IMS) protein
YKL085W ; MDH1 ; Mitochondrial malate dehydrogenase
YKL086W ; SRX1 ; Sulfiredoxin
YKL087C ; CYT2 ; Cytochrome c1 heme lyase
YKL088W ; CAB3 ; Subunit of PPCDC and CoA-SPC complexes involved in CoA biosynthesis
YKL089W ; MIF2 ; Centromeric CDEIII region binding protein
YKL090W ; CUE2 ; Ubiquitin-binding endonuclease involved in mRNA decay
YKL091C ; nan ; Putative phosphatidylinositol/phosphatidylcholine transfer protein
YKL092C ; BUD2 ; GTPase activating factor for Rsr1p/Bud1p
YKL093W ; MBR1 ; Protein involved in mitochondrial functions and stress response
YKL094W ; YJU3 ; Monoglyceride lipase (MGL) that hydrolyzes fatty acid ethyl esters
YKL095W ; YJU2 ; Essential protein required for pre-mRNA splicing
YKL096W ; CWP1 ; Cell wall mannoprotein that localizes to birth scars of daughter cells
YKL096W-A ; CWP2 ; Covalently linked cell wall mannoprotein
YKL098W ; MTC2 ; Protein of unknown function
YKL099C ; UTP11 ; Subunit of U3-containing Small Subunit (SSU) processome complex
YKL100C ; YPF1 ; Intramembrane aspartyl protease of the perinuclear ER membrane
YKL101W ; HSL1 ; Nim1p-related protein kinase
YKL103C ; APE1 ; Vacuolar aminopeptidase yscI
YKL104C ; GFA1 ; Glutamine-fructose-6-phosphate amidotransferase
YKL105C ; SEG2 ; Eisosome component
YKL106W ; AAT1 ; Mitochondrial aspartate aminotransferase
YKL107W ; nan ; NADH-dependent aldehyde reductase
YKL108W ; SLD2 ; Single-stranded DNA origin-binding and annealing protein
YKL109W ; HAP4 ; Transcription factor
YKL110C ; KTI12 ; Protein that plays a role in modification of tRNA wobble nucleosides
YKL112W ; ABF1 ; DNA binding protein with possible chromatin-reorganizing activity
YKL113C ; RAD27 ; 5' to 3' exonuclease, 5' flap endonuclease
YKL114C ; APN1 ; Major apurinic/apyrimidinic endonuclease
YKL116C ; PRR1 ; Serine/threonine protein kinase
YKL117W ; SBA1 ; Co-chaperone that binds and regulates Hsp90 family chaperones
YKL119C ; VPH2 ; Integral membrane protein required for V-ATPase function
YKL120W ; OAC1 ; Mitochondrial inner membrane transporter
YKL121W ; DGR2 ; Protein of unknown function
YKL122C ; SRP21 ; Subunit of the signal recognition particle (SRP)
YKL124W ; SSH4 ; Specificity factor required for Rsp5p-dependent ubiquitination
YKL125W ; RRN3 ; Protein required for transcription of rDNA by RNA polymerase I
YKL126W ; YPK1 ; S/T protein kinase
YKL127W ; PGM1 ; Phosphoglucomutase, minor isoform
YKL128C ; PMU1 ; Putative phosphomutase
YKL129C ; MYO3 ; One of two type I myosins
YKL130C ; SHE2 ; RNA-binding protein that binds specific mRNAs and interacts with She3p
YKL132C ; RMA1 ; Putative dihydrofolate synthetase
YKL133C ; RCI50 ; Mitochondrial protein of unknown function
YKL134C ; 2020-10-01 00:00:00 ; Mitochondrial intermediate peptidase
YKL135C ; APL2 ; Beta-adaptin subunit of the clathrin-associated protein (AP-1) complex
YKL137W ; CMC1 ; Copper-binding protein of the mitochondrial intermembrane space
YKL138C ; MRPL31 ; Mitochondrial ribosomal protein of the large subunit
YKL138C-A ; HSK3 ; Essential subunit of the Dam1 complex (aka DASH complex)
YKL139W ; CTK1 ; Catalytic (alpha) subunit of C-terminal domain kinase I (CTDK-I)
YKL140W ; TGL1 ; Steryl ester hydrolase
YKL141W ; SDH3 ; Subunit of succinate dehydrogenase and of TIM22 translocase
YKL142W ; MRP8 ; Protein of unknown function
YKL143W ; LTV1 ; Subunit of the EGO/GSE complex
YKL144C ; RPC25 ; RNA polymerase III subunit C25
YKL145W ; RPT1 ; ATPase of the 19S regulatory particle of the 26S proteasome
YKL146W ; AVT3 ; Vacuolar transporter
YKL148C ; SDH1 ; Flavoprotein subunit of succinate dehydrogenase
YKL149C ; DBR1 ; RNA lariat debranching enzyme
YKL150W ; MCR1 ; Mitochondrial NADH-cytochrome b5 reductase
YKL151C ; NNR2 ; Widely-conserved NADHX dehydratase
YKL152C ; GPM1 ; Tetrameric phosphoglycerate mutase
YKL154W ; SRP102 ; Signal recognition particle (SRP) receptor beta subunit
YKL155C ; RSM22 ; Mitochondrial ribosomal protein of the small subunit
YKL157W ; APE2 ; Aminopeptidase yscII
YKL159C ; RCN1 ; Protein involved in calcineurin regulation during calcium signaling
YKL160W ; ELF1 ; Transcription elongation factor with a conserved zinc finger domain
YKL161C ; KDX1 ; Protein kinase
YKL162C ; nan ; Putative protein of unknown function
YKL163W ; PIR3 ; O-glycosylated covalently-bound cell wall protein
YKL164C ; PIR1 ; O-glycosylated protein required for cell wall stability
YKL165C ; MCD4 ; Protein involved in GPI anchor synthesis
YKL166C ; TPK3 ; cAMP-dependent protein kinase catalytic subunit
YKL167C ; MRP49 ; Mitochondrial ribosomal protein of the large subunit
YKL168C ; KKQ8 ; Putative serine/threonine protein kinase with unknown cellular role
YKL170W ; MRPL38 ; Mitochondrial ribosomal protein of the large subunit
YKL171W ; NNK1 ; Protein kinase
YKL172W ; EBP2 ; Required for 25S rRNA maturation and 60S ribosomal subunit assembly
YKL173W ; SNU114 ; GTPase component of U5 snRNP involved in mRNA splicing via spliceosome
YKL174C ; TPO5 ; Protein involved in excretion of putrescine and spermidine
YKL175W ; ZRT3 ; Vacuolar membrane zinc transporter
YKL176C ; LST4 ; Subunit of the Lst4p-Lst7p GTPase activating protein complex for Gtr2p
YKL178C ; STE3 ; Receptor for a factor pheromone
YKL179C ; COY1 ; Golgi membrane protein with similarity to mammalian CASP
YKL180W ; RPL17A ; Ribosomal 60S subunit protein L17A
YKL181W ; PRS1 ; 5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase
YKL182W ; FAS1 ; Beta subunit of fatty acid synthetase
YKL183W ; LOT5 ; Protein of unknown function
YKL184W ; SPE1 ; Ornithine decarboxylase
YKL185W ; ASH1 ; Component of the Rpd3L histone deacetylase complex
YKL186C ; MTR2 ; mRNA transport regulator
YKL187C ; FAT3 ; Protein required for fatty acid uptake
YKL188C ; PXA2 ; Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa1p
YKL189W ; HYM1 ; Component of the RAM signaling network
YKL190W ; CNB1 ; Calcineurin B
YKL191W ; DPH2 ; Protein required for synthesis of diphthamide
YKL192C ; ACP1 ; Mitochondrial matrix acyl carrier protein
YKL193C ; SDS22 ; Regulatory subunit of the type 1 protein phosphatase (PP1) Glc7p
YKL194C ; MST1 ; Mitochondrial threonyl-tRNA synthetase
YKL195W ; MIA40 ; Import and assembly protein in mitochondrial intermembrane space
YKL196C ; YKT6 ; Vesicle membrane protein (v-SNARE) with acyltransferase activity
YKL197C ; PEX1 ; AAA-peroxin
YKL198C ; PTK1 ; Putative serine/threonine protein kinase
YKL201C ; MNN4 ; Putative positive regulator of mannosylphosphate transferase Mnn6p
YKL203C ; TOR2 ; PIK-related protein kinase and rapamycin target
YKL204W ; EAP1 ; eIF4E-associated protein, competes with eIF4G for binding to eIF4E
YKL205W ; LOS1 ; Nuclear pore protein
YKL206C ; ADD66 ; Protein involved in 20S proteasome assembly
YKL207W ; EMC3 ; Member of conserved ER transmembrane complex
YKL208W ; CBT1 ; Protein involved in 5' RNA end processing
YKL209C ; STE6 ; Plasma membrane ATP-binding cassette (ABC) transporter
YKL210W ; UBA1 ; Ubiquitin activating enzyme (E1)
YKL211C ; TRP3 ; Indole-3-glycerol-phosphate synthase
YKL212W ; SAC1 ; Phosphatidylinositol phosphate phosphatase
YKL213C ; DOA1 ; WD-repeat protein involved in ubiquitin-mediated protein degradation
YKL214C ; YRA2 ; Member of the REF (RNA and export factor binding proteins) family
YKL215C ; OXP1 ; 5-oxoprolinase
YKL216W ; URA1 ; Dihydroorotate dehydrogenase
YKL217W ; JEN1 ; Monocarboxylate/proton symporter of the plasma membrane
YKL218C ; SRY1 ; 3-hydroxyaspartate dehydratase
YKL219W ; COS9 ; Endosomal protein involved in turnover of plasma membrane proteins
YKL220C ; FRE2 ; Ferric reductase and cupric reductase
YKL221W ; MCH2 ; Protein with similarity to mammalian monocarboxylate permeases
YKL222C ; nan ; Protein of unknown function
YKR001C ; VPS1 ; Dynamin-like GTPase required for vacuolar sorting
YKR002W ; PAP1 ; Poly(A) polymerase
YKR003W ; OSH6 ; Oxysterol-binding  phosphatidylserine transferase
YKR004C ; ECM9 ; Non-essential protein of unknown function
YKR005C ; nan ; Putative protein of unknown function
YKR006C ; MRPL13 ; Mitochondrial ribosomal protein of the large subunit
YKR007W ; MEH1 ; Subunit of the EGO/GSE complex
YKR008W ; RSC4 ; Component of the RSC chromatin remodeling complex
YKR009C ; FOX2 ; 3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase
YKR010C ; TOF2 ; Protein required for rDNA silencing and mitotic rDNA condensation
